noi_dung,nhan
Bạn xử lý vấn đề này rất thông minh và nhanh nhạy,tich_cuc
Bạn đã hoàn thành xong việc xử lý vấn đề này,trung_tinh
Đầu óc mày đúng là bã đậu không làm được gì ra hồn,tieu_cuc
Lời nói của anh ấy thực sự truyền cảm hứng cho mọi người,tich_cuc
Anh ấy đang phát biểu ý kiến cá nhân trước đám đông,trung_tinh
Thằng kia sủa cái gì mà nghe hãm tài thế không biết,tieu_cuc
Chị ấy là một người vô cùng tử tế và nhân hậu,tich_cuc
Chị ấy đang đứng đợi xe buýt ở phía bên kia đường,trung_tinh
Con kia là loại mất dạy không có ai dạy bảo tử tế,tieu_cuc
Đội ngũ của bạn làm việc cực kỳ chuyên nghiệp và hiệu quả,tich_cuc
Đội ngũ của bạn đang họp để bàn về kế hoạch tháng tới,trung_tinh
Một lũ phế vật làm việc chẳng đâu vào đâu cả,tieu_cuc
Ứng dụng này vận hành mượt mà và giao diện rất đẹp,tich_cuc
Ứng dụng này vừa mới cập nhật lên phiên bản mới nhất,trung_tinh
Cái ứng dụng rác rưởi này làm máy tôi bị lag liên tục,tieu_cuc
Hôm nay nhìn bạn thật rạng rỡ và xinh đẹp,tich_cuc
Hôm nay bạn đang mặc một chiếc áo màu xanh lá cây,trung_tinh
Nhìn cái mặt của mày hãm không chịu nổi,tieu_cuc
Cách bạn kết nối với mọi người thật sự tuyệt vời,tich_cuc
Bạn đang làm quen với những người đồng nghiệp mới,trung_tinh
Loại người như mày thì biến đi cho khuất mắt tao,tieu_cuc
Anh ta có kiến thức chuyên môn rất sâu rộng và uyên bác,tich_cuc
Anh ta đang đọc sách tại thư viện trung tâm thành phố,trung_tinh
Đồ ngu dốt không biết gì mà cũng bày đặt lên mặt dạy đời,tieu_cuc
Bạn phản hồi tin nhắn rất nhanh chóng và nhiệt tình,tich_cuc
Bạn đã xem tin nhắn của tôi gửi từ lúc sáng sớm,trung_tinh
Nhắn tin mãi không thấy rep đúng là đồ vô học,tieu_cuc
Kết quả bài thi của bạn thực sự xuất sắc ngoài mong đợi,tich_cuc
